max_rise,max_fall,fault_site
core_i/cs_registers_i/U728/A,0.39,0.42
core_i/cs_registers_i/U728/ZN,0.42,0.39
core_i/cs_registers_i/U732/A,0.36,0.40
core_i/cs_registers_i/U732/ZN,0.40,0.36
core_i/cs_registers_i/U736/A,0.34,0.39
core_i/cs_registers_i/U736/ZN,0.39,0.34
core_i/cs_registers_i/U4/A,0.24,0.19
core_i/cs_registers_i/U4/ZN,0.19,0.24
core_i/cs_registers_i/U552/A1,0.15,0.21
core_i/cs_registers_i/U552/A2,0.10,0.18
core_i/cs_registers_i/U552/ZN,0.18,0.10
core_i/cs_registers_i/U1277/A1,1.63,3.16
core_i/cs_registers_i/U1277/A2,1.65,3.16
core_i/cs_registers_i/U1277/A3,1.66,3.17
core_i/cs_registers_i/U1277/ZN,1.63,3.16
core_i/cs_registers_i/U629/A1,0.81,0.77
core_i/cs_registers_i/U629/A2,0.74,0.73
core_i/cs_registers_i/U629/B1,0.82,0.76
core_i/cs_registers_i/U629/B2,0.74,0.72
core_i/cs_registers_i/U629/ZN,0.72,0.74
core_i/cs_registers_i/U631/A1,0.82,0.75
core_i/cs_registers_i/U631/A2,0.74,0.70
core_i/cs_registers_i/U631/B1,0.82,0.74
core_i/cs_registers_i/U631/B2,0.73,0.69
core_i/cs_registers_i/U631/ZN,0.69,0.73
core_i/cs_registers_i/U633/A1,0.66,0.78
core_i/cs_registers_i/U633/A2,0.59,0.74
core_i/cs_registers_i/U633/B1,0.65,0.77
core_i/cs_registers_i/U633/B2,0.58,0.72
core_i/cs_registers_i/U633/ZN,0.72,0.58
core_i/cs_registers_i/U637/A1,0.76,0.62
core_i/cs_registers_i/U637/A2,0.68,0.57
core_i/cs_registers_i/U637/B1,0.68,0.56
core_i/cs_registers_i/U637/B2,0.76,0.60
core_i/cs_registers_i/U637/ZN,0.56,0.68
core_i/cs_registers_i/U639/A1,0.76,0.60
core_i/cs_registers_i/U639/A2,0.68,0.55
core_i/cs_registers_i/U639/B1,0.76,0.59
core_i/cs_registers_i/U639/B2,0.68,0.54
core_i/cs_registers_i/U639/ZN,0.54,0.68
core_i/cs_registers_i/U641/A1,0.76,0.59
core_i/cs_registers_i/U641/A2,0.69,0.54
core_i/cs_registers_i/U641/B1,0.76,0.58
core_i/cs_registers_i/U641/B2,0.67,0.53
core_i/cs_registers_i/U641/ZN,0.53,0.67
core_i/cs_registers_i/U643/A1,0.76,0.58
core_i/cs_registers_i/U643/A2,0.69,0.54
core_i/cs_registers_i/U643/B1,0.76,0.57
core_i/cs_registers_i/U643/B2,0.67,0.52
core_i/cs_registers_i/U643/ZN,0.52,0.67
core_i/cs_registers_i/U646/A1,0.76,0.62
core_i/cs_registers_i/U646/A2,0.68,0.57
core_i/cs_registers_i/U646/B1,0.67,0.56
core_i/cs_registers_i/U646/B2,0.75,0.59
core_i/cs_registers_i/U646/ZN,0.56,0.67
core_i/cs_registers_i/U648/A1,0.76,0.60
core_i/cs_registers_i/U648/A2,0.68,0.55
core_i/cs_registers_i/U648/B1,0.75,0.58
core_i/cs_registers_i/U648/B2,0.68,0.54
core_i/cs_registers_i/U648/ZN,0.54,0.68
core_i/cs_registers_i/U650/A1,0.76,0.58
core_i/cs_registers_i/U650/A2,0.69,0.54
core_i/cs_registers_i/U650/B1,0.76,0.57
core_i/cs_registers_i/U650/B2,0.67,0.53
core_i/cs_registers_i/U650/ZN,0.53,0.67
core_i/cs_registers_i/U652/A1,0.76,0.58
core_i/cs_registers_i/U652/A2,0.68,0.53
core_i/cs_registers_i/U652/B1,0.76,0.57
core_i/cs_registers_i/U652/B2,0.68,0.52
core_i/cs_registers_i/U652/ZN,0.52,0.68
core_i/cs_registers_i/U655/A1,0.76,0.62
core_i/cs_registers_i/U655/A2,0.69,0.58
core_i/cs_registers_i/U655/B1,0.67,0.56
core_i/cs_registers_i/U655/B2,0.75,0.60
core_i/cs_registers_i/U655/ZN,0.56,0.67
core_i/cs_registers_i/U657/A1,0.76,0.60
core_i/cs_registers_i/U657/A2,0.68,0.55
core_i/cs_registers_i/U657/B1,0.75,0.59
core_i/cs_registers_i/U657/B2,0.68,0.54
core_i/cs_registers_i/U657/ZN,0.54,0.68
core_i/cs_registers_i/U659/A1,0.76,0.59
core_i/cs_registers_i/U659/A2,0.68,0.54
core_i/cs_registers_i/U659/B1,0.75,0.58
core_i/cs_registers_i/U659/B2,0.67,0.53
core_i/cs_registers_i/U659/ZN,0.53,0.67
core_i/cs_registers_i/U661/A1,0.75,0.58
core_i/cs_registers_i/U661/A2,0.69,0.54
core_i/cs_registers_i/U661/B1,0.75,0.57
core_i/cs_registers_i/U661/B2,0.68,0.53
core_i/cs_registers_i/U661/ZN,0.53,0.68
core_i/cs_registers_i/U665/B1,0.97,0.89
