               *               *    core_i/load_store_unit_i/U517/output
            0.07            0.09    core_i/load_store_unit_i/U491/A1
            3.93            3.98    core_i/load_store_unit_i/U491/A2
            0.07            0.09    core_i/load_store_unit_i/U491/B1
            0.01            0.00    core_i/load_store_unit_i/U491/B2
            0.00            0.01    core_i/load_store_unit_i/U491/ZN
            1.46            1.42    core_i/load_store_unit_i/U52/A1
            1.53            1.55    core_i/load_store_unit_i/U52/A2
            1.42            1.46    core_i/load_store_unit_i/U52/ZN
            1.33            1.30    core_i/load_store_unit_i/U53/A1
            1.36            1.41    core_i/load_store_unit_i/U53/A2
            1.30            1.33    core_i/load_store_unit_i/U53/ZN
            1.39            1.41    core_i/load_store_unit_i/U54/A1
            1.33            1.28    core_i/load_store_unit_i/U54/A2
            1.33            1.28    core_i/load_store_unit_i/U54/ZN
            0.87            0.78    core_i/load_store_unit_i/U56/A1
            0.92            0.89    core_i/load_store_unit_i/U56/A2
            0.87            0.78    core_i/load_store_unit_i/U56/ZN
            1.37            1.38    core_i/load_store_unit_i/U57/A1
            1.33            1.26    core_i/load_store_unit_i/U57/A2
            1.33            1.26    core_i/load_store_unit_i/U57/ZN
            1.23            1.21    core_i/load_store_unit_i/U58/A1
            1.28            1.33    core_i/load_store_unit_i/U58/A2
            1.21            1.23    core_i/load_store_unit_i/U58/ZN
            1.29            1.29    core_i/load_store_unit_i/U301/A
            1.33            1.39    core_i/load_store_unit_i/U301/B
            1.29            1.29    core_i/load_store_unit_i/U301/Z
            1.64            1.71    core_i/load_store_unit_i/U115/A
            1.60            1.58    core_i/load_store_unit_i/U115/B
            1.59            1.58    core_i/load_store_unit_i/U115/ZN
            0.22            0.23    core_i/load_store_unit_i/U60/A
            0.23            0.22    core_i/load_store_unit_i/U60/ZN
            4.07            4.11    core_i/load_store_unit_i/U312/A1
            4.02            4.06    core_i/load_store_unit_i/U312/A2
            4.06            4.02    core_i/load_store_unit_i/U312/ZN
            0.21            0.13    core_i/load_store_unit_i/U123/A1
            0.26            0.24    core_i/load_store_unit_i/U123/A2
            0.13            0.21    core_i/load_store_unit_i/U123/ZN
            0.19            0.14    core_i/load_store_unit_i/U124/A1
            0.23            0.25    core_i/load_store_unit_i/U124/A2
            0.14            0.19    core_i/load_store_unit_i/U124/ZN
            0.21            0.14    core_i/load_store_unit_i/U125/A1
            0.26            0.26    core_i/load_store_unit_i/U125/A2
            0.14            0.21    core_i/load_store_unit_i/U125/ZN
            1.67            1.70    core_i/load_store_unit_i/U509/A
            1.70            1.67    core_i/load_store_unit_i/U509/ZN
            4.02            4.06    core_i/load_store_unit_i/U318/A1
            4.05            4.03    core_i/load_store_unit_i/U318/A2
            4.03            4.02    core_i/load_store_unit_i/U318/ZN
            0.24            0.16    core_i/load_store_unit_i/U129/A1
            0.29            0.27    core_i/load_store_unit_i/U129/A2
            0.16            0.24    core_i/load_store_unit_i/U129/ZN
            1.74            1.73    core_i/load_store_unit_i/U511/A1
            1.64            1.62    core_i/load_store_unit_i/U511/A2
            1.62            1.64    core_i/load_store_unit_i/U511/ZN
            4.01            4.03    core_i/load_store_unit_i/U323/A
            4.03            4.01    core_i/load_store_unit_i/U323/ZN
            0.29            0.24    core_i/load_store_unit_i/U133/A1
            0.32            0.32    core_i/load_store_unit_i/U133/A2
            0.24            0.29    core_i/load_store_unit_i/U133/ZN
            0.31            0.25    core_i/load_store_unit_i/U134/A1
            0.33            0.34    core_i/load_store_unit_i/U134/A2
            0.25            0.31    core_i/load_store_unit_i/U134/ZN
            0.11            0.26    core_i/load_store_unit_i/U137/A1
            0.30            0.32    core_i/load_store_unit_i/U137/A2
            0.26            0.11    core_i/load_store_unit_i/U137/ZN
            1.29            1.31    core_i/load_store_unit_i/U87/A1
            1.23            1.18    core_i/load_store_unit_i/U87/A2
            1.18            1.23    core_i/load_store_unit_i/U87/ZN
            0.26            0.17    core_i/load_store_unit_i/U88/A1
            0.31            0.28    core_i/load_store_unit_i/U88/A2
            0.26            0.17    core_i/load_store_unit_i/U88/ZN
            1.53            1.54    core_i/load_store_unit_i/U89/A1
            1.46            1.41    core_i/load_store_unit_i/U89/A2
            1.41            1.46    core_i/load_store_unit_i/U89/ZN
            0.19            0.31    core_i/load_store_unit_i/U142/A1
            0.43            0.42    core_i/load_store_unit_i/U142/A2
            0.31            0.19    core_i/load_store_unit_i/U142/ZN
            0.22            0.37    core_i/load_store_unit_i/U147/A1
            0.45            0.48    core_i/load_store_unit_i/U147/A2
            0.37            0.22    core_i/load_store_unit_i/U147/ZN
            0.14            0.25    core_i/load_store_unit_i/U92/A1
            4.06            4.05    core_i/load_store_unit_i/U92/A2
            0.25            0.14    core_i/load_store_unit_i/U92/ZN
            0.20            0.34    core_i/load_store_unit_i/U152/A1
            0.44            0.45    core_i/load_store_unit_i/U152/A2
            0.34            0.20    core_i/load_store_unit_i/U152/ZN
            0.25            0.39    core_i/load_store_unit_i/U156/A1
            0.51            0.55    core_i/load_store_unit_i/U156/A2
            0.39            0.25    core_i/load_store_unit_i/U156/ZN
            0.38            0.50    core_i/load_store_unit_i/U160/A1
            0.53            0.55    core_i/load_store_unit_i/U160/A2
            0.50            0.38    core_i/load_store_unit_i/U160/ZN
            4.21            4.11    core_i/load_store_unit_i/U353/A1
            0.23            0.11    core_i/load_store_unit_i/U353/A2
            0.11            0.23    core_i/load_store_unit_i/U353/ZN
            0.42            0.55    core_i/load_store_unit_i/U165/A1
            0.65            0.66    core_i/load_store_unit_i/U165/A2
            0.55            0.42    core_i/load_store_unit_i/U165/ZN
            3.99            3.93    core_i/load_store_unit_i/U357/A1
            0.31            0.19    core_i/load_store_unit_i/U357/A2
            0.31            0.18    core_i/load_store_unit_i/U357/B1
            4.05            3.96    core_i/load_store_unit_i/U357/B2
            0.18            0.31    core_i/load_store_unit_i/U357/ZN
            0.21            0.37    core_i/load_store_unit_i/U169/A1
            0.45            0.48    core_i/load_store_unit_i/U169/A2
            0.37            0.21    core_i/load_store_unit_i/U169/ZN
            0.53            0.38    core_i/load_store_unit_i/U361/A1
            4.18            4.13    core_i/load_store_unit_i/U361/A2
            4.40            4.27    core_i/load_store_unit_i/U361/B1
            4.14            4.11    core_i/load_store_unit_i/U361/B2
            0.38            0.53    core_i/load_store_unit_i/U361/ZN
            0.80            0.75    core_i/load_store_unit_i/U747/B1
            4.56            4.56    core_i/load_store_unit_i/U747/B2
            0.59            0.56    core_i/load_store_unit_i/U747/A
            0.56            0.59    core_i/load_store_unit_i/U747/ZN
            0.76            0.78    core_i/load_store_unit_i/U748/A1
            4.52            4.59    core_i/load_store_unit_i/U748/A2
            0.78            0.76    core_i/load_store_unit_i/U748/ZN
            0.26            0.43    core_i/load_store_unit_i/U173/A1
            0.50            0.54    core_i/load_store_unit_i/U173/A2
            0.43            0.26    core_i/load_store_unit_i/U173/ZN
            4.22            4.14    core_i/load_store_unit_i/U367/A1
            4.37            4.27    core_i/load_store_unit_i/U367/A2
            4.14            4.22    core_i/load_store_unit_i/U367/ZN
            4.20            4.15    core_i/load_store_unit_i/U368/A1
            0.52            0.40    core_i/load_store_unit_i/U368/A2
            4.22            4.14    core_i/load_store_unit_i/U368/B1
            0.52            0.39    core_i/load_store_unit_i/U368/B2
            0.39            0.52    core_i/load_store_unit_i/U368/ZN
            0.36            0.51    core_i/load_store_unit_i/U177/A1
            0.60            0.62    core_i/load_store_unit_i/U177/A2
            0.51            0.36    core_i/load_store_unit_i/U177/ZN
            4.17            4.16    core_i/load_store_unit_i/U370/A1
            0.52            0.40    core_i/load_store_unit_i/U370/A2
            4.39            4.29    core_i/load_store_unit_i/U370/B1
            4.12            4.12    core_i/load_store_unit_i/U370/B2
            0.40            0.52    core_i/load_store_unit_i/U370/ZN
            0.49            0.65    core_i/load_store_unit_i/U180/A1
            0.73            0.76    core_i/load_store_unit_i/U180/A2
            0.65            0.49    core_i/load_store_unit_i/U180/ZN
            4.20            4.14    core_i/load_store_unit_i/U375/A1
            0.53            0.40    core_i/load_store_unit_i/U375/A2
            4.22            4.14    core_i/load_store_unit_i/U375/B1
            0.53            0.39    core_i/load_store_unit_i/U375/B2
            0.39            0.53    core_i/load_store_unit_i/U375/ZN
            4.17            4.15    core_i/load_store_unit_i/U376/A1
            0.53            0.39    core_i/load_store_unit_i/U376/A2
            4.13            4.12    core_i/load_store_unit_i/U376/B1
            4.40            4.28    core_i/load_store_unit_i/U376/B2
            0.39            0.53    core_i/load_store_unit_i/U376/ZN
            0.58            0.71    core_i/load_store_unit_i/U185/A1
            0.82            0.83    core_i/load_store_unit_i/U185/A2
            0.71            0.58    core_i/load_store_unit_i/U185/ZN
            0.59            0.74    core_i/load_store_unit_i/U190/A1
            0.83            0.85    core_i/load_store_unit_i/U190/A2
            0.74            0.59    core_i/load_store_unit_i/U190/ZN
            0.75            0.62    core_i/load_store_unit_i/U195/A1
            0.78            0.73    core_i/load_store_unit_i/U195/A2
            0.62            0.75    core_i/load_store_unit_i/U195/ZN
            0.73            0.64    core_i/load_store_unit_i/U196/A1
            0.76            0.75    core_i/load_store_unit_i/U196/A2
            0.64            0.73    core_i/load_store_unit_i/U196/ZN
            4.20            4.14    core_i/load_store_unit_i/U388/A1
            0.53            0.40    core_i/load_store_unit_i/U388/A2
            4.22            4.14    core_i/load_store_unit_i/U388/B1
            0.53            0.39    core_i/load_store_unit_i/U388/B2
            0.39            0.53    core_i/load_store_unit_i/U388/ZN
            4.17            4.15    core_i/load_store_unit_i/U389/A1
            0.53            0.39    core_i/load_store_unit_i/U389/A2
            4.13            4.12    core_i/load_store_unit_i/U389/B1
            4.40            4.28    core_i/load_store_unit_i/U389/B2
            0.39            0.53    core_i/load_store_unit_i/U389/ZN
            0.52            0.68    core_i/load_store_unit_i/U198/A1
            0.75            0.79    core_i/load_store_unit_i/U198/A2
            0.68            0.52    core_i/load_store_unit_i/U198/ZN
            0.81            0.71    core_i/load_store_unit_i/U203/A1
            0.86            0.83    core_i/load_store_unit_i/U203/A2
            0.71            0.81    core_i/load_store_unit_i/U203/ZN
            0.73            0.88    core_i/load_store_unit_i/U205/A1
            0.97            1.01    core_i/load_store_unit_i/U205/A2
            0.88            0.73    core_i/load_store_unit_i/U205/ZN
            0.87            1.01    core_i/load_store_unit_i/U211/A1
            1.13            1.14    core_i/load_store_unit_i/U211/A2
            1.01            0.87    core_i/load_store_unit_i/U211/ZN
            4.19            4.12    core_i/load_store_unit_i/U409/A1
            0.51            0.38    core_i/load_store_unit_i/U409/A2
            4.21            4.12    core_i/load_store_unit_i/U409/B1
            0.51            0.37    core_i/load_store_unit_i/U409/B2
            0.37            0.51    core_i/load_store_unit_i/U409/ZN
            4.16            4.13    core_i/load_store_unit_i/U410/A1
            0.52            0.38    core_i/load_store_unit_i/U410/A2
            4.12            4.10    core_i/load_store_unit_i/U410/B1
            4.38            4.27    core_i/load_store_unit_i/U410/B2
            0.38            0.52    core_i/load_store_unit_i/U410/ZN
            4.19            4.12    core_i/load_store_unit_i/U415/A1
            0.51            0.38    core_i/load_store_unit_i/U415/A2
            4.21            4.12    core_i/load_store_unit_i/U415/B1
            0.51            0.37    core_i/load_store_unit_i/U415/B2
            0.37            0.51    core_i/load_store_unit_i/U415/ZN
            4.16            4.13    core_i/load_store_unit_i/U416/A1
            0.52            0.38    core_i/load_store_unit_i/U416/A2
            4.12            4.10    core_i/load_store_unit_i/U416/B1
            4.38            4.27    core_i/load_store_unit_i/U416/B2
