               *               *    core_i/load_store_unit_i/U517/output
            1.20            1.20    core_i/load_store_unit_i/U553/A2
            1.20            1.20    core_i/load_store_unit_i/U553/ZN
            1.21            1.20    core_i/load_store_unit_i/U560/A1
            1.20            1.20    core_i/load_store_unit_i/U560/A2
            1.20            1.20    core_i/load_store_unit_i/U560/ZN
            1.21            1.20    core_i/load_store_unit_i/U567/A1
            1.20            1.20    core_i/load_store_unit_i/U567/A2
            1.20            1.20    core_i/load_store_unit_i/U567/ZN
            3.77            3.79    core_i/load_store_unit_i/U760/B1
            4.49            4.37    core_i/load_store_unit_i/U760/B2
            0.31            0.27    core_i/load_store_unit_i/U760/A
            0.27            0.31    core_i/load_store_unit_i/U760/ZN
            3.66            3.80    core_i/load_store_unit_i/U761/A1
            4.38            4.37    core_i/load_store_unit_i/U761/A2
            3.80            3.66    core_i/load_store_unit_i/U761/ZN
            1.21            1.20    core_i/load_store_unit_i/U574/A1
            1.20            1.20    core_i/load_store_unit_i/U574/A2
            1.20            1.20    core_i/load_store_unit_i/U574/ZN
            1.21            1.20    core_i/load_store_unit_i/U581/A1
            1.20            1.20    core_i/load_store_unit_i/U581/A2
            1.20            1.20    core_i/load_store_unit_i/U581/ZN
            1.21            1.20    core_i/load_store_unit_i/U588/A1
            1.20            1.20    core_i/load_store_unit_i/U588/A2
            1.20            1.20    core_i/load_store_unit_i/U588/ZN
            1.21            1.20    core_i/load_store_unit_i/U595/A1
            1.20            1.20    core_i/load_store_unit_i/U595/A2
            1.20            1.20    core_i/load_store_unit_i/U595/ZN
            1.21            1.20    core_i/load_store_unit_i/U602/A1
            1.20            1.20    core_i/load_store_unit_i/U602/A2
            1.20            1.20    core_i/load_store_unit_i/U602/ZN
            1.21            1.20    core_i/load_store_unit_i/U609/A1
            1.20            1.20    core_i/load_store_unit_i/U609/A2
            1.20            1.20    core_i/load_store_unit_i/U609/ZN
            1.21            1.20    core_i/load_store_unit_i/U616/A1
            1.20            1.20    core_i/load_store_unit_i/U616/A2
            1.20            1.20    core_i/load_store_unit_i/U616/ZN
            1.21            1.20    core_i/load_store_unit_i/U623/A1
            1.20            1.20    core_i/load_store_unit_i/U623/A2
            1.20            1.20    core_i/load_store_unit_i/U623/ZN
            1.21            1.20    core_i/load_store_unit_i/U630/A1
            1.20            1.20    core_i/load_store_unit_i/U630/A2
            1.20            1.20    core_i/load_store_unit_i/U630/ZN
            1.21            1.20    core_i/load_store_unit_i/U637/A1
            1.20            1.20    core_i/load_store_unit_i/U637/A2
            1.20            1.20    core_i/load_store_unit_i/U637/ZN
            1.21            1.20    core_i/load_store_unit_i/U644/A1
            1.20            1.20    core_i/load_store_unit_i/U644/A2
            1.20            1.20    core_i/load_store_unit_i/U644/ZN
            1.24            1.22    core_i/load_store_unit_i/U265/A
            1.43            1.44    core_i/load_store_unit_i/U265/B
            1.23            1.22    core_i/load_store_unit_i/U265/ZN
            1.21            1.20    core_i/load_store_unit_i/U651/A1
            1.20            1.20    core_i/load_store_unit_i/U651/A2
            1.20            1.20    core_i/load_store_unit_i/U651/ZN
            1.21            1.20    core_i/load_store_unit_i/U658/A1
            1.20            1.20    core_i/load_store_unit_i/U658/A2
            1.20            1.20    core_i/load_store_unit_i/U658/ZN
            1.19            1.18    core_i/load_store_unit_i/U514/A1
            1.44            1.37    core_i/load_store_unit_i/U514/A2
            1.18            1.19    core_i/load_store_unit_i/U514/ZN
            0.11            0.19    core_i/load_store_unit_i/U163/B1
            0.38            0.50    core_i/load_store_unit_i/U163/B2
            0.39            0.52    core_i/load_store_unit_i/U163/A
            0.19            0.11    core_i/load_store_unit_i/U163/ZN
            3.80            3.66    core_i/load_store_unit_i/U762/A1
            0.23            0.24    core_i/load_store_unit_i/U762/A2
            0.24            0.23    core_i/load_store_unit_i/U762/ZN
            0.23            0.22    core_i/load_store_unit_i/U772/B1
            4.40            4.31    core_i/load_store_unit_i/U772/B2
            0.27            0.31    core_i/load_store_unit_i/U772/A
            0.22            0.23    core_i/load_store_unit_i/U772/ZN
            0.35            0.36    core_i/load_store_unit_i/U776/A
            0.36            0.35    core_i/load_store_unit_i/U776/ZN
            1.18            1.22    core_i/load_store_unit_i/U255/A
            1.40            1.43    core_i/load_store_unit_i/U255/B
            1.18            1.21    core_i/load_store_unit_i/U255/Z
            1.02            1.01    core_i/load_store_unit_i/U70/A1
            1.41            1.32    core_i/load_store_unit_i/U70/A2
            1.01            1.02    core_i/load_store_unit_i/U70/ZN
            0.19            0.11    core_i/load_store_unit_i/U71/A1
            0.38            0.21    core_i/load_store_unit_i/U71/A2
            0.57            0.42    core_i/load_store_unit_i/U71/A3
            0.11            0.19    core_i/load_store_unit_i/U71/ZN
            0.24            0.23    core_i/load_store_unit_i/U90/A
            0.23            0.24    core_i/load_store_unit_i/U90/ZN
            0.46            0.47    core_i/load_store_unit_i/U763/A1
            0.87            0.87    core_i/load_store_unit_i/U763/A2
            4.81            4.82    core_i/load_store_unit_i/U763/B1
            0.56            0.57    core_i/load_store_unit_i/U763/B2
            0.42            0.39    core_i/load_store_unit_i/U763/C1
            0.62            0.68    core_i/load_store_unit_i/U763/C2
            0.39            0.42    core_i/load_store_unit_i/U763/ZN
            0.46            0.47    core_i/load_store_unit_i/U764/A1
            0.87            0.87    core_i/load_store_unit_i/U764/A2
            4.81            4.82    core_i/load_store_unit_i/U764/B1
            0.56            0.57    core_i/load_store_unit_i/U764/B2
            0.42            0.39    core_i/load_store_unit_i/U764/C1
            0.62            0.68    core_i/load_store_unit_i/U764/C2
            0.39            0.42    core_i/load_store_unit_i/U764/ZN
            0.46            0.47    core_i/load_store_unit_i/U766/A1
            0.87            0.87    core_i/load_store_unit_i/U766/A2
            4.81            4.82    core_i/load_store_unit_i/U766/B1
            0.56            0.57    core_i/load_store_unit_i/U766/B2
            0.42            0.39    core_i/load_store_unit_i/U766/C1
            0.62            0.68    core_i/load_store_unit_i/U766/C2
            0.39            0.42    core_i/load_store_unit_i/U766/ZN
            0.46            0.47    core_i/load_store_unit_i/U767/A1
            0.87            0.87    core_i/load_store_unit_i/U767/A2
            4.81            4.82    core_i/load_store_unit_i/U767/B1
            0.56            0.57    core_i/load_store_unit_i/U767/B2
            0.42            0.39    core_i/load_store_unit_i/U767/C1
            0.62            0.68    core_i/load_store_unit_i/U767/C2
            0.39            0.42    core_i/load_store_unit_i/U767/ZN
            0.46            0.47    core_i/load_store_unit_i/U769/A1
            0.87            0.87    core_i/load_store_unit_i/U769/A2
            4.81            4.82    core_i/load_store_unit_i/U769/B1
            0.56            0.57    core_i/load_store_unit_i/U769/B2
            0.42            0.39    core_i/load_store_unit_i/U769/C1
            0.62            0.68    core_i/load_store_unit_i/U769/C2
            0.39            0.42    core_i/load_store_unit_i/U769/ZN
            0.46            0.47    core_i/load_store_unit_i/U770/A1
            0.87            0.87    core_i/load_store_unit_i/U770/A2
            4.81            4.82    core_i/load_store_unit_i/U770/B1
            0.56            0.57    core_i/load_store_unit_i/U770/B2
            0.42            0.39    core_i/load_store_unit_i/U770/C1
            0.62            0.68    core_i/load_store_unit_i/U770/C2
            0.39            0.42    core_i/load_store_unit_i/U770/ZN
            0.46            0.47    core_i/load_store_unit_i/U771/A1
            0.87            0.87    core_i/load_store_unit_i/U771/A2
            4.81            4.82    core_i/load_store_unit_i/U771/B1
            0.56            0.57    core_i/load_store_unit_i/U771/B2
            0.42            0.39    core_i/load_store_unit_i/U771/C1
            0.62            0.68    core_i/load_store_unit_i/U771/C2
            0.39            0.42    core_i/load_store_unit_i/U771/ZN
            0.88            0.85    core_i/load_store_unit_i/U773/A1
            0.22            0.24    core_i/load_store_unit_i/U773/A2
            4.77            4.76    core_i/load_store_unit_i/U773/B1
            0.40            0.38    core_i/load_store_unit_i/U773/B2
            0.24            0.22    core_i/load_store_unit_i/U773/ZN
            0.88            0.85    core_i/load_store_unit_i/U777/A1
            0.36            0.35    core_i/load_store_unit_i/U777/A2
            4.76            4.74    core_i/load_store_unit_i/U777/B1
            0.40            0.38    core_i/load_store_unit_i/U777/B2
            0.35            0.36    core_i/load_store_unit_i/U777/ZN
            0.88            0.85    core_i/load_store_unit_i/U780/A1
            0.36            0.35    core_i/load_store_unit_i/U780/A2
            4.76            4.74    core_i/load_store_unit_i/U780/B1
            0.40            0.38    core_i/load_store_unit_i/U780/B2
            0.35            0.36    core_i/load_store_unit_i/U780/ZN
            0.88            0.85    core_i/load_store_unit_i/U782/A1
            0.36            0.35    core_i/load_store_unit_i/U782/A2
            4.76            4.74    core_i/load_store_unit_i/U782/B1
            0.40            0.38    core_i/load_store_unit_i/U782/B2
            0.35            0.36    core_i/load_store_unit_i/U782/ZN
            0.88            0.85    core_i/load_store_unit_i/U784/A1
            0.36            0.35    core_i/load_store_unit_i/U784/A2
            4.76            4.74    core_i/load_store_unit_i/U784/B1
            0.40            0.38    core_i/load_store_unit_i/U784/B2
            0.35            0.36    core_i/load_store_unit_i/U784/ZN
            0.88            0.85    core_i/load_store_unit_i/U786/A1
            0.36            0.35    core_i/load_store_unit_i/U786/A2
            4.76            4.74    core_i/load_store_unit_i/U786/B1
            0.40            0.38    core_i/load_store_unit_i/U786/B2
            0.35            0.36    core_i/load_store_unit_i/U786/ZN
            0.88            0.85    core_i/load_store_unit_i/U788/A1
            0.36            0.35    core_i/load_store_unit_i/U788/A2
            4.76            4.74    core_i/load_store_unit_i/U788/B1
            0.40            0.38    core_i/load_store_unit_i/U788/B2
            0.35            0.36    core_i/load_store_unit_i/U788/ZN
            0.88            0.85    core_i/load_store_unit_i/U790/A1
            0.36            0.35    core_i/load_store_unit_i/U790/A2
            4.76            4.74    core_i/load_store_unit_i/U790/B1
            0.40            0.38    core_i/load_store_unit_i/U790/B2
            0.35            0.36    core_i/load_store_unit_i/U790/ZN
            0.88            0.86    core_i/load_store_unit_i/U792/A1
            0.22            0.24    core_i/load_store_unit_i/U792/A2
            4.76            4.75    core_i/load_store_unit_i/U792/B1
            0.40            0.38    core_i/load_store_unit_i/U792/B2
            0.24            0.22    core_i/load_store_unit_i/U792/ZN
            0.88            0.84    core_i/load_store_unit_i/U794/A1
            0.22            0.23    core_i/load_store_unit_i/U794/A2
            4.75            4.74    core_i/load_store_unit_i/U794/B1
            0.40            0.37    core_i/load_store_unit_i/U794/B2
            0.23            0.22    core_i/load_store_unit_i/U794/ZN
            0.88            0.84    core_i/load_store_unit_i/U796/A1
            0.22            0.23    core_i/load_store_unit_i/U796/A2
            4.75            4.74    core_i/load_store_unit_i/U796/B1
            0.40            0.37    core_i/load_store_unit_i/U796/B2
            0.23            0.22    core_i/load_store_unit_i/U796/ZN
            0.88            0.84    core_i/load_store_unit_i/U798/A1
            0.22            0.23    core_i/load_store_unit_i/U798/A2
            4.75            4.74    core_i/load_store_unit_i/U798/B1
            0.40            0.37    core_i/load_store_unit_i/U798/B2
            0.23            0.22    core_i/load_store_unit_i/U798/ZN
            0.88            0.84    core_i/load_store_unit_i/U800/A1
            0.22            0.23    core_i/load_store_unit_i/U800/A2
            4.75            4.74    core_i/load_store_unit_i/U800/B1
            0.40            0.37    core_i/load_store_unit_i/U800/B2
            0.23            0.22    core_i/load_store_unit_i/U800/ZN
            0.88            0.84    core_i/load_store_unit_i/U802/A1
            0.22            0.23    core_i/load_store_unit_i/U802/A2
            4.75            4.74    core_i/load_store_unit_i/U802/B1
            0.40            0.37    core_i/load_store_unit_i/U802/B2
            0.23            0.22    core_i/load_store_unit_i/U802/ZN
            0.88            0.84    core_i/load_store_unit_i/U804/A1
            0.22            0.23    core_i/load_store_unit_i/U804/A2
            4.75            4.74    core_i/load_store_unit_i/U804/B1
            0.40            0.37    core_i/load_store_unit_i/U804/B2
            0.23            0.22    core_i/load_store_unit_i/U804/ZN
            0.88            0.84    core_i/load_store_unit_i/U806/A1
            0.22            0.23    core_i/load_store_unit_i/U806/A2
            4.75            4.74    core_i/load_store_unit_i/U806/B1
            0.40            0.37    core_i/load_store_unit_i/U806/B2
            0.23            0.22    core_i/load_store_unit_i/U806/ZN
            0.88            0.84    core_i/load_store_unit_i/U808/A1
            0.22            0.23    core_i/load_store_unit_i/U808/A2
            4.75            4.74    core_i/load_store_unit_i/U808/B1
            0.40            0.37    core_i/load_store_unit_i/U808/B2
            0.23            0.22    core_i/load_store_unit_i/U808/ZN
            0.88            0.85    core_i/load_store_unit_i/U810/A1
            0.22            0.23    core_i/load_store_unit_i/U810/A2
            4.75            4.74    core_i/load_store_unit_i/U810/B1
            0.40            0.37    core_i/load_store_unit_i/U810/B2
            0.23            0.22    core_i/load_store_unit_i/U810/ZN
            0.88            0.85    core_i/load_store_unit_i/U812/A1
            0.22            0.23    core_i/load_store_unit_i/U812/A2
            4.75            4.74    core_i/load_store_unit_i/U812/B1
            0.40            0.37    core_i/load_store_unit_i/U812/B2
            0.23            0.22    core_i/load_store_unit_i/U812/ZN
            0.88            0.85    core_i/load_store_unit_i/U814/A1
            0.22            0.23    core_i/load_store_unit_i/U814/A2
            4.75            4.74    core_i/load_store_unit_i/U814/B1
            0.40            0.37    core_i/load_store_unit_i/U814/B2
            0.23            0.22    core_i/load_store_unit_i/U814/ZN
            0.88            0.85    core_i/load_store_unit_i/U816/A1
            0.22            0.23    core_i/load_store_unit_i/U816/A2
            4.75            4.74    core_i/load_store_unit_i/U816/B1
            0.40            0.37    core_i/load_store_unit_i/U816/B2
            0.23            0.22    core_i/load_store_unit_i/U816/ZN
            0.88            0.85    core_i/load_store_unit_i/U818/A1
            0.22            0.23    core_i/load_store_unit_i/U818/A2
            4.75            4.74    core_i/load_store_unit_i/U818/B1
            0.40            0.37    core_i/load_store_unit_i/U818/B2
            0.23            0.22    core_i/load_store_unit_i/U818/ZN
            0.88            0.85    core_i/load_store_unit_i/U820/A1
            0.22            0.23    core_i/load_store_unit_i/U820/A2
            4.75            4.74    core_i/load_store_unit_i/U820/B1
            0.40            0.37    core_i/load_store_unit_i/U820/B2
            0.23            0.22    core_i/load_store_unit_i/U820/ZN
            0.88            0.85    core_i/load_store_unit_i/U822/A1
            0.22            0.23    core_i/load_store_unit_i/U822/A2
            4.75            4.74    core_i/load_store_unit_i/U822/B1
            0.40            0.37    core_i/load_store_unit_i/U822/B2
            0.23            0.22    core_i/load_store_unit_i/U822/ZN
            0.88            0.85    core_i/load_store_unit_i/U824/A1
            0.22            0.23    core_i/load_store_unit_i/U824/A2
            4.74            4.73    core_i/load_store_unit_i/U824/B1
            0.40            0.37    core_i/load_store_unit_i/U824/B2
            0.23            0.22    core_i/load_store_unit_i/U824/ZN
            1.14            1.14    core_i/load_store_unit_i/U271/A
            1.42            1.43    core_i/load_store_unit_i/U271/B
            1.14            1.14    core_i/load_store_unit_i/U271/ZN
            0.39            0.42    core_i/load_store_unit_i/rdata_q_reg_1_/D
            4.52               *    core_i/load_store_unit_i/rdata_q_reg_1_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_1_/RN
               *               *    core_i/load_store_unit_i/rdata_q_reg_1_/Q
            4.53            4.52    core_i/load_store_unit_i/rdata_q_reg_1_/QN
            0.39            0.42    core_i/load_store_unit_i/rdata_q_reg_2_/D
            4.48               *    core_i/load_store_unit_i/rdata_q_reg_2_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_2_/RN
               *               *    core_i/load_store_unit_i/rdata_q_reg_2_/Q
            4.48            4.55    core_i/load_store_unit_i/rdata_q_reg_2_/QN
            0.39            0.42    core_i/load_store_unit_i/rdata_q_reg_3_/D
            4.51               *    core_i/load_store_unit_i/rdata_q_reg_3_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_3_/RN
               *               *    core_i/load_store_unit_i/rdata_q_reg_3_/Q
            4.51            4.55    core_i/load_store_unit_i/rdata_q_reg_3_/QN
            0.39            0.42    core_i/load_store_unit_i/rdata_q_reg_4_/D
            4.51               *    core_i/load_store_unit_i/rdata_q_reg_4_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_4_/RN
               *               *    core_i/load_store_unit_i/rdata_q_reg_4_/Q
            4.51            4.55    core_i/load_store_unit_i/rdata_q_reg_4_/QN
            0.39            0.42    core_i/load_store_unit_i/rdata_q_reg_5_/D
            4.50               *    core_i/load_store_unit_i/rdata_q_reg_5_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_5_/RN
               *               *    core_i/load_store_unit_i/rdata_q_reg_5_/Q
            4.50            4.53    core_i/load_store_unit_i/rdata_q_reg_5_/QN
            1.38            1.46    core_i/load_store_unit_i/U72/A1
            1.01            1.02    core_i/load_store_unit_i/U72/A2
            1.37            1.45    core_i/load_store_unit_i/U72/A3
            1.37            1.44    core_i/load_store_unit_i/U72/A4
            1.02            1.01    core_i/load_store_unit_i/U72/ZN
            1.04            1.05    core_i/load_store_unit_i/U74/A1
            1.41            1.48    core_i/load_store_unit_i/U74/A2
            1.04            1.05    core_i/load_store_unit_i/U74/ZN
            1.05            1.05    core_i/load_store_unit_i/U75/C1
            1.39            1.47    core_i/load_store_unit_i/U75/C2
            1.40            1.47    core_i/load_store_unit_i/U75/A
            1.35            1.43    core_i/load_store_unit_i/U75/B
            1.05            1.05    core_i/load_store_unit_i/U75/ZN
            0.39            0.42    core_i/load_store_unit_i/rdata_q_reg_6_/D
            4.50               *    core_i/load_store_unit_i/rdata_q_reg_6_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_6_/RN
               *               *    core_i/load_store_unit_i/rdata_q_reg_6_/Q
            4.50            4.55    core_i/load_store_unit_i/rdata_q_reg_6_/QN
            0.63            0.69    core_i/load_store_unit_i/U774/B1
            0.45            0.42    core_i/load_store_unit_i/U774/B2
            0.24            0.22    core_i/load_store_unit_i/U774/A
            0.22            0.24    core_i/load_store_unit_i/U774/ZN
            0.28            0.32    core_i/load_store_unit_i/U775/A1
            4.72            4.73    core_i/load_store_unit_i/U775/A2
            0.32            0.28    core_i/load_store_unit_i/U775/ZN
            0.30            0.31    core_i/load_store_unit_i/U778/A1
            0.57            0.57    core_i/load_store_unit_i/U778/A2
            0.31            0.30    core_i/load_store_unit_i/U778/ZN
            0.55            0.61    core_i/load_store_unit_i/U793/B1
            0.45            0.42    core_i/load_store_unit_i/U793/B2
            0.24            0.22    core_i/load_store_unit_i/U793/A
            0.22            0.24    core_i/load_store_unit_i/U793/ZN
            0.23            0.24    core_i/load_store_unit_i/U12/A1
            0.49            0.48    core_i/load_store_unit_i/U12/A2
            0.24            0.23    core_i/load_store_unit_i/U12/ZN
            0.38            0.51    core_i/load_store_unit_i/U13/B1
            0.23            0.37    core_i/load_store_unit_i/U13/B2
            0.11            0.19    core_i/load_store_unit_i/U13/A
            0.19            0.11    core_i/load_store_unit_i/U13/ZN
            0.39            0.42    core_i/load_store_unit_i/rdata_q_reg_0_/D
            4.52               *    core_i/load_store_unit_i/rdata_q_reg_0_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_0_/RN
               *               *    core_i/load_store_unit_i/rdata_q_reg_0_/Q
            4.53            4.52    core_i/load_store_unit_i/rdata_q_reg_0_/QN
            1.06            1.06    core_i/load_store_unit_i/U283/A
            1.42            1.45    core_i/load_store_unit_i/U283/B
            1.06            1.06    core_i/load_store_unit_i/U283/ZN
            1.05            1.05    core_i/load_store_unit_i/U285/A
            1.43            1.43    core_i/load_store_unit_i/U285/B
            1.05            1.05    core_i/load_store_unit_i/U285/ZN
            1.04            1.05    core_i/load_store_unit_i/U288/A
            1.38            1.40    core_i/load_store_unit_i/U288/B
            1.04            1.05    core_i/load_store_unit_i/U288/Z
            1.02            1.01    core_i/load_store_unit_i/U73/A1
            1.36            1.27    core_i/load_store_unit_i/U73/A2
            1.01            1.02    core_i/load_store_unit_i/U73/ZN
            0.22            0.24    core_i/load_store_unit_i/rdata_q_reg_7_/D
            4.42               *    core_i/load_store_unit_i/rdata_q_reg_7_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_7_/RN
            4.51            4.42    core_i/load_store_unit_i/rdata_q_reg_7_/Q
               *               *    core_i/load_store_unit_i/rdata_q_reg_7_/QN
            0.19            0.11    core_i/load_store_unit_i/U183/B1
            0.67            0.50    core_i/load_store_unit_i/U183/B2
            0.65            0.49    core_i/load_store_unit_i/U183/A
            0.11            0.19    core_i/load_store_unit_i/U183/ZN
            0.22            0.24    core_i/load_store_unit_i/rdata_q_reg_15_/D
            4.28               *    core_i/load_store_unit_i/rdata_q_reg_15_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_15_/RN
            4.42            4.28    core_i/load_store_unit_i/rdata_q_reg_15_/Q
               *               *    core_i/load_store_unit_i/rdata_q_reg_15_/QN
            0.72            0.79    core_i/load_store_unit_i/U779/C1
            0.32            0.28    core_i/load_store_unit_i/U779/C2
            0.35            0.36    core_i/load_store_unit_i/U779/A
            0.31            0.30    core_i/load_store_unit_i/U779/B
            0.28            0.31    core_i/load_store_unit_i/U779/ZN
            0.72            0.78    core_i/load_store_unit_i/U781/C1
            0.32            0.28    core_i/load_store_unit_i/U781/C2
            0.35            0.36    core_i/load_store_unit_i/U781/A
            0.31            0.30    core_i/load_store_unit_i/U781/B
            0.28            0.31    core_i/load_store_unit_i/U781/ZN
            0.72            0.78    core_i/load_store_unit_i/U783/C1
            0.32            0.28    core_i/load_store_unit_i/U783/C2
            0.35            0.36    core_i/load_store_unit_i/U783/A
            0.31            0.30    core_i/load_store_unit_i/U783/B
            0.28            0.31    core_i/load_store_unit_i/U783/ZN
            0.72            0.78    core_i/load_store_unit_i/U785/C1
            0.32            0.28    core_i/load_store_unit_i/U785/C2
            0.35            0.36    core_i/load_store_unit_i/U785/A
            0.31            0.30    core_i/load_store_unit_i/U785/B
            0.28            0.31    core_i/load_store_unit_i/U785/ZN
            0.72            0.78    core_i/load_store_unit_i/U787/C1
            0.32            0.28    core_i/load_store_unit_i/U787/C2
            0.35            0.36    core_i/load_store_unit_i/U787/A
            0.31            0.30    core_i/load_store_unit_i/U787/B
            0.28            0.31    core_i/load_store_unit_i/U787/ZN
            0.72            0.78    core_i/load_store_unit_i/U789/C1
            0.32            0.28    core_i/load_store_unit_i/U789/C2
            0.35            0.36    core_i/load_store_unit_i/U789/A
            0.31            0.30    core_i/load_store_unit_i/U789/B
            0.28            0.31    core_i/load_store_unit_i/U789/ZN
            0.72            0.78    core_i/load_store_unit_i/U791/C1
            0.32            0.28    core_i/load_store_unit_i/U791/C2
            0.35            0.36    core_i/load_store_unit_i/U791/A
            0.31            0.30    core_i/load_store_unit_i/U791/B
            0.28            0.31    core_i/load_store_unit_i/U791/ZN
            0.74            0.78    core_i/load_store_unit_i/U795/C1
            0.43            0.41    core_i/load_store_unit_i/U795/C2
            0.23            0.22    core_i/load_store_unit_i/U795/A
            0.24            0.23    core_i/load_store_unit_i/U795/B
            0.22            0.23    core_i/load_store_unit_i/U795/ZN
            0.74            0.78    core_i/load_store_unit_i/U797/C1
            0.43            0.41    core_i/load_store_unit_i/U797/C2
            0.23            0.22    core_i/load_store_unit_i/U797/A
            0.24            0.23    core_i/load_store_unit_i/U797/B
            0.22            0.23    core_i/load_store_unit_i/U797/ZN
            0.74            0.78    core_i/load_store_unit_i/U799/C1
            0.43            0.41    core_i/load_store_unit_i/U799/C2
            0.23            0.22    core_i/load_store_unit_i/U799/A
            0.24            0.23    core_i/load_store_unit_i/U799/B
            0.22            0.23    core_i/load_store_unit_i/U799/ZN
            0.74            0.78    core_i/load_store_unit_i/U801/C1
            0.43            0.41    core_i/load_store_unit_i/U801/C2
            0.23            0.22    core_i/load_store_unit_i/U801/A
            0.24            0.23    core_i/load_store_unit_i/U801/B
            0.22            0.23    core_i/load_store_unit_i/U801/ZN
            0.74            0.78    core_i/load_store_unit_i/U803/C1
            0.43            0.41    core_i/load_store_unit_i/U803/C2
            0.23            0.22    core_i/load_store_unit_i/U803/A
            0.24            0.23    core_i/load_store_unit_i/U803/B
            0.22            0.23    core_i/load_store_unit_i/U803/ZN
            0.74            0.78    core_i/load_store_unit_i/U805/C1
            0.43            0.41    core_i/load_store_unit_i/U805/C2
            0.23            0.22    core_i/load_store_unit_i/U805/A
            0.24            0.23    core_i/load_store_unit_i/U805/B
            0.22            0.23    core_i/load_store_unit_i/U805/ZN
            0.74            0.78    core_i/load_store_unit_i/U807/C1
            0.43            0.41    core_i/load_store_unit_i/U807/C2
            0.23            0.22    core_i/load_store_unit_i/U807/A
            0.24            0.23    core_i/load_store_unit_i/U807/B
            0.22            0.23    core_i/load_store_unit_i/U807/ZN
            0.73            0.78    core_i/load_store_unit_i/U809/C1
            0.43            0.41    core_i/load_store_unit_i/U809/C2
            0.23            0.22    core_i/load_store_unit_i/U809/A
            0.24            0.23    core_i/load_store_unit_i/U809/B
            0.22            0.23    core_i/load_store_unit_i/U809/ZN
            0.77            0.85    core_i/load_store_unit_i/U811/C1
            0.43            0.41    core_i/load_store_unit_i/U811/C2
            0.23            0.22    core_i/load_store_unit_i/U811/A
            0.24            0.23    core_i/load_store_unit_i/U811/B
            0.22            0.23    core_i/load_store_unit_i/U811/ZN
            0.77            0.85    core_i/load_store_unit_i/U813/C1
            0.43            0.41    core_i/load_store_unit_i/U813/C2
            0.23            0.22    core_i/load_store_unit_i/U813/A
            0.24            0.23    core_i/load_store_unit_i/U813/B
            0.22            0.23    core_i/load_store_unit_i/U813/ZN
            0.77            0.85    core_i/load_store_unit_i/U815/C1
            0.43            0.41    core_i/load_store_unit_i/U815/C2
            0.23            0.22    core_i/load_store_unit_i/U815/A
            0.24            0.23    core_i/load_store_unit_i/U815/B
            0.22            0.23    core_i/load_store_unit_i/U815/ZN
            0.77            0.85    core_i/load_store_unit_i/U817/C1
            0.43            0.41    core_i/load_store_unit_i/U817/C2
            0.23            0.22    core_i/load_store_unit_i/U817/A
            0.24            0.23    core_i/load_store_unit_i/U817/B
            0.22            0.23    core_i/load_store_unit_i/U817/ZN
            0.77            0.85    core_i/load_store_unit_i/U819/C1
            0.43            0.41    core_i/load_store_unit_i/U819/C2
            0.23            0.22    core_i/load_store_unit_i/U819/A
            0.24            0.23    core_i/load_store_unit_i/U819/B
            0.22            0.23    core_i/load_store_unit_i/U819/ZN
            0.77            0.85    core_i/load_store_unit_i/U821/C1
            0.43            0.41    core_i/load_store_unit_i/U821/C2
            0.23            0.22    core_i/load_store_unit_i/U821/A
            0.24            0.23    core_i/load_store_unit_i/U821/B
            0.22            0.23    core_i/load_store_unit_i/U821/ZN
            0.77            0.85    core_i/load_store_unit_i/U823/C1
            0.43            0.41    core_i/load_store_unit_i/U823/C2
            0.23            0.22    core_i/load_store_unit_i/U823/A
            0.24            0.23    core_i/load_store_unit_i/U823/B
            0.22            0.23    core_i/load_store_unit_i/U823/ZN
            0.77            0.85    core_i/load_store_unit_i/U825/C1
            0.43            0.41    core_i/load_store_unit_i/U825/C2
            0.23            0.22    core_i/load_store_unit_i/U825/A
            0.24            0.23    core_i/load_store_unit_i/U825/B
            0.22            0.23    core_i/load_store_unit_i/U825/ZN
            0.22            0.23    core_i/load_store_unit_i/rdata_q_reg_24_/D
            4.34               *    core_i/load_store_unit_i/rdata_q_reg_24_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_24_/RN
            4.36            4.34    core_i/load_store_unit_i/rdata_q_reg_24_/Q
            4.40            4.49    core_i/load_store_unit_i/rdata_q_reg_24_/QN
            0.99            1.00    core_i/load_store_unit_i/U281/A
            1.40            1.43    core_i/load_store_unit_i/U281/B
            0.99            1.00    core_i/load_store_unit_i/U281/Z
            0.22            0.23    core_i/load_store_unit_i/rdata_q_reg_25_/D
            4.34               *    core_i/load_store_unit_i/rdata_q_reg_25_/CK
               *               *    core_i/load_store_unit_i/rdata_q_reg_25_/RN
            4.36            4.34    core_i/load_store_unit_i/rdata_q_reg_25_/Q
